date_ref,company,title,category,impact,summary,source_url
,GloFox (ABC Fitness),Studio Integral increased revenues by over 150% with Glofox,,,,https://www.glofox.com/resources/customer-stories/studio-integral/
2025-10-24 16:55:36.281848+00:00,ZenPlanner (Daxko),Blogs | Zen Planner,,,,https://zenplanner.com/resources/blogs/
2015-11-26 00:00:00+00:00,GloFox (ABC Fitness),Retaining Customers Post-January Rush with Gym Management Software - Boutique Fitness and Gym Management Software - Glofox,,,,https://www.glofox.com/blog/the-key-to-retaining-customers-after-the-january-rush/
2025-10-24 16:54:51.342497+00:00,Kicksite,Everything you need to know about invoices as a business owner - Kicksite,,,,https://kicksite.com/newsletter/invoices/
2025-10-27 13:59:04.188060+00:00,GloFox (ABC Fitness),10 Steps to Creating a Brand Identity for Your Gym - Boutique Fitness and Gym Management Software - Glofox,,,,https://www.glofox.com/blog/brand-identity/
2025-04-22 16:45:47+00:00,GloFox (ABC Fitness),Q1 2025 Product Review: ABC Glofox Major Feature Releases,,,,https://www.glofox.com/blog/abc-glofox-q1-2025-product-review-our-major-feature-releases/
2025-10-24 16:56:45.940455+00:00,GloFox (ABC Fitness),Experience Archives - Boutique Fitness and Gym Management Software - Glofox,,,,https://www.glofox.com/blog/category/experience/
2024-07-09 10:26:28+00:00,GloFox (ABC Fitness),Counting the Cost of Opening a Gym,,,,https://www.glofox.com/blog/counting-the-cost-of-opening-a-gym/
,GloFox (ABC Fitness),Read our customer success stories | Glofox,,,,https://www.glofox.com/resources/customer-stories/how-refuel-opened-four-new-locations-with-abc-glofox/
2025-09-19 13:34:31+00:00,GloFox (ABC Fitness),Business Expansion at Scale - Boutique Fitness and Gym Management Software - Glofox,,,,https://www.glofox.com/blog/business-expansion/
,ClubOS (Formerly ASF),Club OS Five-by-Five: Daniel Driver,,,,https://www.club-os.com/blog/company-5x5s-daniel-driver
2025-10-24 16:55:30.360749+00:00,MyStudio,How to Calculate Customer Churn Rate & Reduce Retention Loss,,,,https://www.mystudio.io/blog/calculate-customer-churn-rate-reduce-retention-loss
2025-10-24 16:57:24.398323+00:00,ClubOS (Formerly ASF),Dos & Don’ts of Text & Email for Member Retention (+ Customer Examples),,,,https://www.club-os.com/blog/dos-and-donts-text-email-for-member-retention
2025-10-27 13:57:37.236144+00:00,ZenPlanner (Daxko),Daxko Appoints Aldor H. Delp as President of Boutique Segment | Daxko,,,,https://www.daxko.com/news/daxko-appoints-aldor-h-delp-as-president-of-boutique-segment
2025-10-24 16:54:59.054283+00:00,Kicksite,Martial Arts School Holiday Gift Guide - Kicksite,,,,https://kicksite.com/newsletter/martial-arts-school-holiday-gift-guide/
2025-10-24 16:56:37.026938+00:00,GloFox (ABC Fitness),Customer stories - Boutique Fitness and Gym Management Software - Glofox,,,,https://www.glofox.com/resources/customer-stories/
2025-10-24 17:00:22.052438+00:00,GloFox (ABC Fitness),Get e-books designed to help grow fitness businesses,,,,https://www.glofox.com/resources/ebooks/from-passion-to-profit/
2025-10-24 16:55:33.356557+00:00,ZenPlanner (Daxko),Fitness Business Tips & News | Zen Planner Blog,,,,https://zenplanner.com/blog/
2025-10-24 16:54:38.260116+00:00,Kicksite,Fall and Winter Promotional Event Ideas for Martial Arts Schools - Kicksite,,,,https://kicksite.com/newsletter/fall-and-winter-promotional-event-ideas-for-small-businesses/
2023-09-11 15:57:32+00:00,GloFox (ABC Fitness),Fresh Release: Exploring Glofox's New Appointments Feature - Boutique Fitness and Gym Management Software - Glofox,,,,https://www.glofox.com/blog/new-appointment-feature/
2025-08-22 14:37:08+00:00,GloFox (ABC Fitness),"A Guide to Using ""Percentage"" vs ""Dollar"" Discounts in Your Fitness Studio Promotions",,,,https://www.glofox.com/blog/fitness-studio-discounts-guide/
2025-10-24 16:58:39.345393+00:00,Kicksite,Black History Month: Martial Arts in the African American Community - Kicksite,,,,https://kicksite.com/newsletter/bhm-history-of-martial-arts-in-the-african-american-community/
2025-10-24 16:57:17.794299+00:00,ClubOS (Formerly ASF),How To Maintain a Clean Facility,,,,https://www.club-os.com/blog/how-to-maintain-a-clean-facility
2025-10-24 16:55:08.504954+00:00,Kicksite,Newsletters - Kicksite | Blog,,,,https://kicksite.com/newsletters/page/26/
